HomeTeam,AwayTeam,HTR,HTHG,HTAG,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,MaxH,MaxD,MaxA,AvgH,AvgD,AvgA,FTR,FTR,主场胜利=0 客场胜利=1 平局=2
Granada,Osasuna,0,1,0,6,9,2,4,12,17,2,7,2,8,0,1,2.42,3.06,3.45,2.39,3,3.36,0,0,
Eibar,Barcelona,1,0,1,5,9,0,4,16,14,2,2,5,0,0,0,6.13,4.6,1.55,5.84,4.51,1.52,1,1,
Ath Madrid,Valencia,0,1,0,15,11,4,3,18,12,2,4,2,1,0,1,1.65,4,6.42,1.6,3.84,5.99,2,2,
Getafe,Leganes,2,0,0,5,7,2,3,17,19,2,3,1,4,0,0,1.86,3.31,5.5,1.84,3.18,5.26,0,0,
Mallorca,Real Madrid,0,1,0,5,13,1,4,20,14,4,4,2,2,0,1,6.75,4.5,1.54,6.38,4.31,1.52,0,0,
Alaves,Celta,2,0,0,12,14,5,2,20,5,4,6,5,1,0,0,3.1,3.07,2.74,2.97,3,2.64,0,0,
Sociedad,Betis,0,2,1,18,12,6,5,23,12,11,2,4,2,0,0,1.77,4,4.81,1.75,3.91,4.49,0,0,
Espanol,Villarreal,1,0,1,18,11,3,5,11,14,7,3,2,1,0,0,3.1,3.51,2.38,3.02,3.39,2.36,1,1,
Ath Bilbao,Valladolid,0,1,0,19,9,7,3,12,9,3,4,2,3,0,0,1.71,3.5,6.5,1.68,3.45,6.05,2,2,
Sevilla,Levante,2,0,0,19,12,5,5,10,11,9,1,2,2,0,0,1.35,5.69,9.27,1.33,5.52,8.75,0,0,
Villarreal,Alaves,0,1,0,19,12,8,3,12,13,5,4,2,2,0,0,1.55,4.37,7,1.52,4.21,6.63,0,0,
Leganes,Mallorca,0,1,0,9,9,3,1,19,13,4,5,4,1,0,0,1.87,3.56,5.05,1.83,3.38,4.82,0,0,
Valladolid,Eibar,0,2,0,8,13,4,3,13,13,4,3,1,2,0,0,2.47,3.18,3.25,2.41,3.11,3.19,0,0,
Ath Madrid,Ath Bilbao,0,1,0,9,9,2,2,14,9,7,7,2,2,0,0,1.76,3.5,6,1.72,3.4,5.81,0,0,
Celta,Sociedad,2,0,0,9,9,1,4,20,12,3,7,5,2,1,0,3,3.4,2.63,2.86,3.3,2.53,1,1,
Granada,Betis,2,0,0,13,12,3,0,13,8,4,2,3,4,0,0,2.55,3.4,3,2.48,3.33,2.88,0,0,
Levante,Espanol,1,0,1,7,14,3,3,10,26,4,7,2,3,0,0,2.21,3.5,3.6,2.15,3.44,3.42,1,1,
Sevilla,Getafe,2,0,0,15,9,8,4,13,18,5,0,2,3,0,0,1.73,3.8,6,1.71,3.58,5.43,0,0,
Osasuna,Valencia,2,1,1,21,2,13,1,8,6,6,1,1,1,0,1,2.87,3.25,2.77,2.8,3.18,2.65,0,0,
Alaves,Ath Madrid,2,0,0,11,9,3,3,23,16,4,1,3,3,0,0,6.5,3.56,1.72,6.15,3.46,1.67,2,2,
Barcelona,Valladolid,0,3,1,18,9,9,1,9,14,6,3,0,3,0,0,1.15,9.5,19.86,1.13,9.07,18.23,0,0,
Sociedad,Levante,1,0,2,17,13,5,4,15,12,9,5,3,4,0,0,1.52,4.62,6.5,1.5,4.53,6.35,1,1,
Valencia,Sevilla,1,0,1,10,10,3,1,12,17,6,1,6,3,0,0,2.88,3.48,2.53,2.84,3.37,2.5,2,2,
Ath Bilbao,Espanol,0,2,0,7,12,5,5,13,20,2,5,0,1,0,0,1.94,3.25,5,1.9,3.2,4.74,0,0,
Betis,Celta,0,1,0,11,18,7,5,16,17,5,10,6,1,0,0,2.1,3.55,3.75,2.06,3.48,3.63,0,0,
Real Madrid,Leganes,0,3,0,22,5,11,3,12,12,8,3,1,5,0,0,1.27,6.01,13,1.26,5.94,11.72,0,0,
Eibar,Villarreal,2,0,0,25,9,8,2,11,12,8,3,0,3,0,0,2.8,3.56,2.6,2.73,3.43,2.55,0,0,
Mallorca,Osasuna,0,1,0,11,12,3,4,9,10,5,3,1,5,0,0,2.58,3.1,3.2,2.51,3.03,3.11,2,2,
Getafe,Granada,0,2,0,8,10,3,2,22,11,2,3,5,5,0,0,1.96,3.3,4.8,1.91,3.26,4.56,0,0,
Espanol,Valencia,0,1,0,13,11,4,4,20,14,5,5,0,1,0,0,2.78,3.3,2.75,2.74,3.25,2.67,1,1,
Levante,Barcelona,1,0,1,9,9,3,6,9,13,2,3,1,6,0,0,9,6.34,1.33,8.44,5.97,1.31,0,0,
Sevilla,Ath Madrid,0,1,0,11,14,4,5,13,16,6,3,4,3,0,0,2.46,3.2,3.32,2.38,3.14,3.25,2,2,
Real Madrid,Betis,2,0,0,22,13,7,3,11,17,9,4,2,4,0,0,1.3,6.63,10.27,1.27,6.33,9.71,2,2,
Valladolid,Mallorca,0,1,0,12,14,6,1,15,20,2,6,5,4,0,0,2.1,3.38,4,2.06,3.28,3.88,0,0,
Villarreal,Ath Bilbao,2,0,0,11,12,7,2,10,8,8,10,2,0,0,0,1.92,3.6,4.53,1.86,3.51,4.41,2,2,
Osasuna,Alaves,0,3,1,19,11,6,3,13,17,5,1,4,2,0,0,2.1,3.15,4.5,2.08,3.02,4.27,0,0,
Celta,Getafe,1,0,1,6,9,2,5,6,19,4,4,3,3,0,0,2.64,3.1,3.1,2.57,3.07,2.99,1,1,
Leganes,Eibar,2,1,1,12,7,5,4,16,20,4,2,5,2,0,0,2.38,3.25,3.5,2.31,3.16,3.35,1,1,
Granada,Sociedad,2,1,1,5,9,3,5,15,19,4,5,0,2,0,0,3.14,3.24,2.5,3.05,3.18,2.47,1,1,
Sociedad,Leganes,2,0,0,11,6,5,2,14,23,5,1,2,6,0,1,1.87,3.5,5.21,1.83,3.39,4.92,2,2,
Alaves,Valladolid,0,2,0,14,7,5,1,21,16,6,7,3,3,0,0,2.45,3.11,3.43,2.4,3.01,3.36,0,0,
Valencia,Granada,2,0,0,12,13,4,1,11,15,7,4,0,5,0,0,1.69,3.7,6.25,1.65,3.66,5.93,0,0,
Eibar,Real Madrid,1,0,3,14,10,1,5,9,8,6,6,0,0,0,0,5.8,4.33,1.62,5.5,4.21,1.59,1,1,
Barcelona,Celta,0,2,1,10,6,7,5,18,14,2,2,4,1,0,0,1.22,7.5,15,1.21,7.05,13.18,0,0,
Mallorca,Villarreal,0,2,0,5,22,3,6,18,17,2,5,2,3,0,0,3.6,3.51,2.23,3.41,3.45,2.16,0,0,
Ath Bilbao,Levante,1,0,1,23,8,10,2,13,13,10,2,3,2,0,0,1.7,3.9,5.5,1.68,3.79,5.26,0,0,
Ath Madrid,Espanol,2,1,1,18,10,5,1,12,15,9,2,2,2,0,0,1.48,4.02,9.55,1.46,3.99,8.73,0,0,
Getafe,Osasuna,2,0,0,14,4,5,1,15,16,9,5,2,4,0,0,1.98,3.35,4.46,1.95,3.27,4.39,2,2,
Betis,Sevilla,2,1,1,18,10,5,6,12,21,4,4,2,3,0,0,3.6,3.53,2.17,3.44,3.45,2.14,1,1,
Levante,Mallorca,2,0,0,13,14,6,7,13,9,3,6,2,1,1,0,1.78,3.86,4.78,1.76,3.76,4.65,0,0,
Leganes,Barcelona,0,1,0,9,11,4,6,11,10,0,6,1,2,0,0,7.5,4.8,1.49,7.19,4.61,1.45,1,1,
Betis,Valencia,2,1,1,25,9,8,3,9,13,5,4,2,2,0,0,2.43,3.5,3.04,2.39,3.43,2.96,0,0,
Granada,Ath Madrid,2,0,0,9,17,3,6,15,17,2,8,4,3,0,0,5.1,3.2,1.96,4.94,3.12,1.91,2,2,
Real Madrid,Sociedad,2,1,1,18,11,10,6,13,16,4,3,1,1,0,0,1.4,5.73,7.75,1.37,5.36,7.59,0,0,
Espanol,Getafe,2,1,1,6,11,2,2,23,12,3,3,3,4,0,0,2.87,3,2.92,2.8,2.93,2.86,2,2,
Osasuna,Ath Bilbao,1,0,1,12,6,7,4,15,18,6,2,4,3,0,0,2.66,3.01,3.11,2.61,2.97,3.04,1,1,
Eibar,Alaves,2,0,0,18,7,7,5,10,11,10,4,1,2,0,0,1.87,3.5,4.92,1.85,3.44,4.64,1,1,
Villarreal,Celta,2,0,0,15,11,1,7,12,9,8,2,3,2,0,0,1.8,3.97,4.5,1.78,3.87,4.39,1,1,
Valladolid,Sevilla,1,0,1,7,4,1,2,13,25,8,4,3,4,0,1,4.23,3.79,1.91,4.16,3.62,1.88,1,1,
Celta,Valladolid,2,0,0,13,9,5,2,11,17,11,3,1,3,0,0,1.8,3.71,5.37,1.75,3.64,5.02,2,2,
Alaves,Real Madrid,2,0,0,8,12,2,6,18,11,9,4,4,3,0,0,6.5,4.65,1.53,6.09,4.44,1.52,1,1,
Sociedad,Eibar,2,1,1,15,10,4,4,8,12,6,4,1,4,0,0,1.75,3.94,5.05,1.71,3.82,4.98,0,0,
Mallorca,Betis,1,0,2,16,15,7,3,16,15,6,5,3,4,1,0,2.74,3.35,2.73,2.67,3.31,2.68,1,1,
Valencia,Villarreal,2,0,0,13,24,7,7,8,17,6,4,1,2,0,0,2.42,3.52,3.01,2.38,3.46,2.94,0,0,
Sevilla,Leganes,2,0,0,16,8,8,4,16,7,7,4,3,3,0,0,1.57,4.1,7.46,1.54,3.99,6.72,0,0,
Ath Bilbao,Granada,0,1,0,14,8,6,1,18,16,4,3,5,4,0,0,1.72,3.6,6.07,1.7,3.45,5.85,0,0,
Espanol,Osasuna,0,1,0,12,14,5,8,12,16,2,3,1,4,0,1,2.23,3.3,3.6,2.2,3.18,3.53,1,1,
Getafe,Levante,2,0,0,13,7,9,2,22,14,6,7,2,3,0,0,1.69,3.87,5.5,1.67,3.77,5.42,0,0,
Ath Madrid,Barcelona,2,0,0,17,13,2,5,12,11,9,5,4,4,0,0,2.88,3.3,2.68,2.81,3.26,2.59,1,1,
Villarreal,Ath Madrid,2,0,0,23,18,3,3,11,11,11,6,2,1,0,0,3.6,3.36,2.2,3.53,3.29,2.18,2,2,
Real Madrid,Espanol,0,1,0,18,6,8,2,15,13,5,3,4,3,1,0,1.21,7.35,17,1.2,7.03,14.54,0,0,
Granada,Alaves,2,0,0,13,5,3,1,16,17,6,2,1,4,0,2,2.29,3.1,3.72,2.23,3.09,3.63,0,0,
Levante,Valencia,0,2,1,17,10,6,6,14,14,5,1,5,2,1,0,3.2,3.89,2.23,3.06,3.77,2.2,1,1,
Barcelona,Mallorca,0,4,1,25,9,17,3,15,10,8,4,3,0,0,0,1.14,9.95,26,1.12,9.04,21.83,0,0,
Eibar,Getafe,2,0,0,6,6,3,3,16,15,3,8,5,1,1,0,2.82,3.05,2.95,2.77,2.98,2.83,1,1,
Betis,Ath Bilbao,0,3,1,10,8,6,2,12,15,3,3,2,4,0,0,2.35,3.32,3.3,2.33,3.25,3.22,0,0,
Valladolid,Sociedad,2,0,0,4,16,2,2,10,19,1,4,0,4,0,0,3.44,3.33,2.37,3.27,3.24,2.31,2,2,
Leganes,Celta,0,2,0,15,9,8,4,14,11,3,5,3,3,0,1,2.41,3.25,3.4,2.34,3.13,3.33,0,0,
Osasuna,Sevilla,2,1,1,10,13,1,4,22,10,2,6,4,4,1,0,3.6,3.5,2.2,3.44,3.4,2.15,2,2,
Alaves,Leganes,1,0,1,10,3,3,1,14,17,2,0,2,3,0,0,2.6,3.01,3.25,2.52,2.93,3.21,2,2,
Granada,Levante,2,0,0,18,13,4,6,14,12,8,6,4,3,0,0,2.05,3.6,3.82,2.01,3.55,3.75,1,1,
Sociedad,Barcelona,2,1,1,19,9,5,5,7,8,8,5,0,1,0,0,5.25,4.37,1.68,4.88,4.27,1.65,2,2,
Ath Bilbao,Eibar,2,0,0,8,8,3,2,7,12,6,7,3,3,0,0,1.7,3.75,5.85,1.69,3.63,5.52,2,2,
Ath Madrid,Osasuna,2,0,0,19,15,9,3,16,10,6,5,2,1,0,0,1.4,4.33,11.51,1.4,4.28,10.21,0,0,
Getafe,Valladolid,0,1,0,7,10,3,3,28,10,4,3,3,3,0,0,1.66,3.75,6.26,1.65,3.58,5.99,0,0,
Celta,Mallorca,2,1,1,18,8,7,2,14,16,3,3,3,5,0,1,1.71,3.82,5.36,1.68,3.76,5.19,2,2,
Espanol,Betis,0,2,1,16,10,4,5,26,13,7,5,4,1,0,0,2.6,3.45,2.83,2.57,3.36,2.76,2,2,
Sevilla,Villarreal,1,0,1,24,9,5,3,12,11,14,2,2,0,0,0,1.68,4.21,5.05,1.67,4.08,4.86,1,1,
Valencia,Real Madrid,2,0,0,9,19,6,6,11,15,1,2,1,2,0,0,3.9,4.09,1.93,3.8,3.87,1.9,2,2,
Barcelona,Real Madrid,2,0,0,9,17,2,4,5,17,2,6,3,5,0,0,1.76,4.24,4.42,1.73,4.19,4.3,2,2,
Eibar,Granada,0,2,0,21,12,7,1,17,13,5,5,3,3,0,0,2.15,3.25,4.04,2.09,3.22,3.86,0,0,
Mallorca,Sevilla,1,0,1,8,13,1,6,15,12,3,6,6,3,0,0,5.25,4,1.73,4.99,3.89,1.69,1,1,
Barcelona,Alaves,0,2,0,8,5,4,3,10,11,3,4,2,4,0,0,1.15,9,21,1.14,8.38,18.89,0,0,
Villarreal,Getafe,2,0,0,11,7,4,0,8,18,2,5,2,5,0,1,2.27,3.25,3.6,2.21,3.19,3.53,0,0,
Valladolid,Valencia,2,0,0,14,5,6,2,10,12,5,4,0,3,0,0,3.56,3.4,2.22,3.51,3.3,2.18,2,2,
Leganes,Espanol,0,1,0,11,9,5,3,11,15,1,5,1,6,0,0,2.18,3.12,4,2.12,3.1,3.92,0,0,
Osasuna,Sociedad,1,1,3,19,13,7,7,11,12,8,3,6,2,1,0,2.82,3.4,2.7,2.8,3.29,2.58,1,1,
Betis,Ath Madrid,2,0,0,15,8,2,5,11,14,5,3,4,3,0,0,3.92,3.4,2.1,3.81,3.33,2.06,1,1,
Levante,Celta,1,0,1,13,12,7,5,8,15,8,7,3,6,0,0,2.73,3.6,2.7,2.63,3.52,2.6,0,0,
Real Madrid,Ath Bilbao,2,0,0,20,8,8,2,8,14,6,4,1,0,0,0,1.36,5.33,9.5,1.35,5.21,8.55,2,2,
Valladolid,Leganes,1,1,2,14,12,5,5,16,13,4,3,3,2,0,0,2.82,2.88,3.1,2.71,2.84,3.05,2,2,
Sevilla,Ath Bilbao,1,0,1,9,6,2,1,16,20,9,1,2,4,0,0,1.67,3.75,6.11,1.65,3.66,5.89,2,2,
Valencia,Eibar,0,1,0,9,10,1,3,13,20,6,5,1,3,0,1,1.67,3.94,5.58,1.65,3.87,5.4,0,0,
Getafe,Real Madrid,1,0,1,15,10,4,8,20,14,7,4,3,2,0,0,4.4,3.7,1.87,4.31,3.63,1.84,1,1,
Ath Madrid,Levante,0,2,1,17,6,8,3,9,10,5,5,1,3,0,0,1.3,5.83,12.06,1.27,5.64,11.51,0,0,
Espanol,Barcelona,0,1,0,8,14,3,7,17,11,4,5,2,2,0,1,7.03,4.84,1.46,6.8,4.7,1.45,2,2,
Granada,Mallorca,0,1,0,7,17,4,5,23,11,3,4,5,1,0,0,1.96,3.5,4.4,1.94,3.37,4.23,0,0,
Sociedad,Villarreal,0,1,0,10,14,2,2,16,14,7,2,5,4,0,0,1.95,3.98,3.9,1.89,3.88,3.79,1,1,
Alaves,Betis,0,1,0,6,10,1,3,18,15,3,6,7,3,0,1,2.74,3.27,2.85,2.63,3.25,2.77,2,2,
Celta,Osasuna,2,0,0,20,8,7,1,14,19,6,1,4,3,0,0,2.15,3.4,3.8,2.08,3.37,3.65,2,2,
Leganes,Getafe,1,0,3,8,8,2,4,22,18,4,4,6,4,0,0,3.05,2.88,2.94,2.95,2.84,2.79,1,1,
Levante,Alaves,2,0,0,20,14,3,6,12,20,7,6,2,4,0,0,2.09,3.52,3.8,2.05,3.47,3.69,1,1,
Real Madrid,Sevilla,2,0,0,13,8,4,3,17,12,2,4,3,1,0,0,1.63,4.45,5.25,1.61,4.32,5.11,0,0,
Osasuna,Valladolid,2,0,0,21,5,5,3,16,10,9,1,2,2,0,0,1.88,3.5,5,1.84,3.43,4.72,2,2,
Eibar,Ath Madrid,0,1,0,9,12,4,4,16,14,6,7,1,2,0,0,5.25,3.4,1.87,4.99,3.35,1.82,0,0,
Mallorca,Valencia,0,3,0,13,8,6,1,18,11,1,6,4,4,0,1,3.8,3.6,2.1,3.69,3.5,2.03,0,0,
Betis,Sociedad,0,2,0,14,7,6,0,8,10,6,2,3,1,0,0,2.5,3.74,2.8,2.46,3.62,2.74,0,0,
Villarreal,Espanol,1,0,1,21,16,5,5,15,18,4,4,1,3,0,1,1.67,4.03,5.75,1.66,3.91,5.29,1,1,
Ath Bilbao,Celta,2,0,0,22,7,6,3,18,12,13,0,4,3,0,0,1.98,3.25,4.69,1.95,3.22,4.5,2,2,
Barcelona,Granada,2,0,0,18,5,6,1,11,17,7,0,0,4,0,1,1.17,8.62,19,1.15,7.98,17.47,0,0,
Osasuna,Levante,2,0,0,15,6,3,2,18,11,5,5,3,3,0,0,1.7,4.16,5,1.68,4.07,4.8,0,0,
Espanol,Ath Bilbao,1,0,1,9,11,3,3,14,14,2,3,3,1,0,0,2.51,3,3.35,2.48,2.95,3.28,2,2,
Valencia,Barcelona,2,0,0,8,14,6,5,13,16,2,0,1,3,0,0,5,4.33,1.68,4.81,4.28,1.65,0,0,
Alaves,Villarreal,1,0,1,12,11,6,6,10,12,7,4,2,1,0,0,2.89,3.3,2.65,2.81,3.26,2.59,1,1,
Sevilla,Granada,0,2,0,12,8,4,1,13,18,3,6,4,1,0,0,1.4,4.75,9.72,1.38,4.66,9.25,0,0,
Ath Madrid,Leganes,2,0,0,14,10,3,4,10,19,7,6,2,6,0,1,1.46,4.26,9.57,1.44,4.12,8.84,2,2,
Celta,Eibar,2,0,0,18,5,5,3,9,16,6,3,1,0,0,0,2.08,3.4,3.9,2.03,3.38,3.81,2,2,
Getafe,Betis,2,0,0,7,8,3,1,19,12,8,4,2,4,0,1,2.1,3.36,4.07,2.05,3.3,3.9,0,0,
Sociedad,Mallorca,2,0,0,14,8,5,4,15,7,7,3,0,2,0,0,1.48,4.75,7.61,1.45,4.54,7.2,0,0,
Valladolid,Real Madrid,2,0,0,4,12,0,3,7,11,3,5,1,3,0,0,7.5,5,1.44,7.25,4.8,1.43,1,1,
Granada,Espanol,2,1,1,8,22,2,4,15,17,3,9,3,3,0,0,2.7,3.1,2.96,2.67,3.08,2.89,0,0,
Real Madrid,Ath Madrid,2,0,0,16,4,5,1,18,11,5,6,2,3,0,0,1.83,3.7,4.77,1.81,3.52,4.65,0,0,
Mallorca,Valladolid,2,0,0,16,15,4,7,11,10,8,5,4,1,0,0,2.3,3.3,3.43,2.26,3.23,3.39,1,1,
Valencia,Celta,2,0,0,9,11,5,4,14,20,4,7,6,3,0,0,1.82,3.7,4.7,1.8,3.62,4.57,0,0,
Leganes,Sociedad,1,0,1,12,2,5,1,24,19,3,1,4,3,0,0,2.96,3.2,2.62,2.88,3.17,2.59,0,0,
Eibar,Betis,2,1,1,8,14,3,6,15,16,2,7,2,2,0,0,2.55,3.47,2.9,2.49,3.4,2.83,2,2,
Ath Bilbao,Getafe,1,0,1,8,9,2,3,11,19,5,4,2,5,0,0,2.6,2.95,3.4,2.53,2.87,3.27,1,1,
Sevilla,Alaves,2,0,0,14,4,3,3,13,12,6,1,2,1,0,0,1.37,5.25,9.58,1.35,4.95,9.11,2,2,
Villarreal,Osasuna,0,1,0,9,17,4,5,19,15,4,6,3,2,0,0,1.78,4,4.62,1.77,3.88,4.43,0,0,
Barcelona,Levante,0,2,0,23,10,9,5,6,10,8,3,2,0,0,0,1.15,9.94,19,1.14,9.07,16.06,0,0,
Alaves,Eibar,2,0,0,9,5,5,1,16,10,3,5,3,2,0,0,2.27,3.2,3.68,2.25,3.13,3.56,0,0,
Levante,Leganes,0,2,0,9,12,5,4,18,15,2,2,2,3,0,0,2.65,3.3,2.88,2.58,3.22,2.85,0,0,
Getafe,Valencia,2,0,0,22,5,10,0,12,6,10,0,4,4,0,1,2.04,3.38,4.1,2.01,3.31,4.03,0,0,
Valladolid,Villarreal,0,1,0,8,8,1,3,14,22,2,4,3,3,0,0,3.1,3.25,2.51,3.03,3.22,2.45,2,2,
Ath Madrid,Granada,0,1,0,6,10,3,2,16,19,2,3,4,6,0,0,1.42,4.25,12,1.4,4.19,10.55,0,0,
Espanol,Mallorca,2,0,0,12,7,7,3,26,15,1,7,6,2,0,0,1.66,4,5.8,1.64,3.86,5.53,0,0,
Sociedad,Ath Bilbao,2,0,0,14,6,4,3,7,15,4,4,2,2,0,1,2.15,3.3,3.99,2.1,3.23,3.82,0,0,
Osasuna,Real Madrid,1,1,2,14,17,4,7,11,15,4,3,2,2,0,0,6,4.59,1.55,5.87,4.4,1.54,1,1,
Celta,Sevilla,1,0,1,13,12,7,4,16,14,3,4,3,2,0,0,3.44,3.4,2.3,3.39,3.29,2.23,0,0,
Betis,Barcelona,2,2,2,7,10,3,6,21,17,0,8,5,5,1,1,4.25,3.9,1.88,4.02,3.86,1.85,1,1,
Valencia,Ath Madrid,1,1,2,9,8,3,3,12,16,11,4,3,3,0,0,3.6,3.1,2.33,3.47,3.08,2.3,2,2,
Mallorca,Alaves,2,0,0,14,10,6,0,16,15,8,5,0,2,0,0,2.5,3.2,3.17,2.44,3.14,3.1,0,0,
Barcelona,Getafe,0,2,0,12,7,5,2,12,30,2,3,3,2,0,0,1.45,4.8,8.13,1.42,4.66,7.83,0,0,
Villarreal,Levante,0,1,0,14,11,6,2,15,15,5,10,3,1,0,0,1.56,4.6,6.25,1.52,4.52,5.88,0,0,
Granada,Valladolid,2,0,0,11,6,5,4,19,13,10,5,3,2,0,0,2.47,3.01,3.37,2.44,2.98,3.29,0,0,
Sevilla,Espanol,2,1,1,18,5,6,3,17,9,9,2,3,4,0,1,1.6,4.03,6.5,1.59,3.91,6.06,2,2,
Leganes,Betis,2,0,0,11,3,1,2,15,20,4,2,5,3,0,1,2.5,3.22,3.1,2.44,3.18,3.06,2,2,
Ath Bilbao,Osasuna,1,0,1,12,6,2,2,14,20,4,0,4,4,0,0,2.07,3.25,4.24,2.02,3.21,4.11,1,1,
Real Madrid,Celta,1,0,1,15,5,4,3,10,10,9,3,2,2,0,0,1.3,6.25,10.8,1.27,6.09,10.22,2,2,
Betis,Mallorca,2,2,2,19,11,6,4,13,12,7,1,2,1,0,0,1.5,4.69,7,1.47,4.51,6.85,2,2,
Celta,Leganes,2,0,0,3,11,1,2,13,17,2,9,3,3,1,0,1.87,3.52,4.8,1.83,3.4,4.73,0,0,
Barcelona,Eibar,0,3,0,13,12,11,5,8,19,5,5,0,2,0,0,1.2,7.5,15,1.19,7.12,13.59,0,0,
Sociedad,Valencia,0,2,0,19,6,7,1,19,9,6,7,1,1,0,0,1.7,4.2,4.99,1.67,4.08,4.81,0,0,
Levante,Real Madrid,2,0,0,8,19,2,7,16,10,3,7,1,2,0,0,6.53,5.09,1.48,6.15,4.97,1.45,0,0,
Osasuna,Granada,1,0,3,14,10,1,4,19,11,6,3,3,1,0,0,1.93,3.52,4.4,1.91,3.41,4.3,1,1,
Alaves,Ath Bilbao,2,1,1,4,13,4,5,17,12,2,9,4,4,0,0,3.04,3,2.75,2.94,2.93,2.72,0,0,
Valladolid,Espanol,2,0,0,21,6,6,2,10,18,4,2,1,5,0,1,2.67,3,3.1,2.6,2.99,3.03,0,0,
Getafe,Sevilla,1,0,1,10,8,2,5,14,17,5,3,7,3,0,0,2.35,3.16,3.48,2.31,3.1,3.4,1,1,
Ath Madrid,Villarreal,2,1,1,16,10,9,4,14,6,6,1,1,2,0,0,1.67,3.75,6.02,1.66,3.73,5.64,0,0,
Sociedad,Valladolid,2,0,0,13,6,4,1,15,11,8,4,1,1,0,0,1.55,4.1,7.02,1.54,4.03,6.62,0,0,
Eibar,Levante,0,1,0,13,11,9,4,15,16,3,6,3,2,0,0,2,3.65,4,1.98,3.55,3.84,0,0,
Valencia,Betis,2,0,0,10,14,5,5,13,9,6,7,2,3,0,0,2.25,3.5,3.4,2.19,3.44,3.3,0,0,
Leganes,Alaves,2,0,0,19,8,6,4,18,18,6,4,3,3,0,0,2.08,3.14,4.5,2.04,3.06,4.33,2,2,
Granada,Celta,2,0,0,14,6,0,2,14,11,6,1,3,5,0,0,2.86,3.11,2.8,2.79,3.08,2.74,2,2,
Sevilla,Osasuna,0,2,0,12,14,5,4,9,14,7,1,2,2,0,1,1.49,4.4,8,1.47,4.29,7.54,0,0,
Ath Bilbao,Villarreal,2,0,0,18,10,6,3,11,13,5,6,6,6,0,0,2.32,3.38,3.27,2.3,3.29,3.23,0,0,
Espanol,Ath Madrid,0,1,0,9,5,3,2,20,18,3,4,3,4,0,0,4.46,3.13,2.09,4.25,3.09,2.05,2,2,
Mallorca,Getafe,2,0,0,4,9,1,5,13,24,4,3,4,5,1,0,3.74,3.1,2.34,3.6,3.03,2.28,1,1,
Real Madrid,Barcelona,2,0,0,13,9,5,4,13,10,8,2,2,2,0,0,2.3,3.8,3.21,2.21,3.67,3.1,0,0,
Alaves,Valencia,1,0,1,13,6,2,2,9,10,3,3,5,3,0,0,2.66,3.25,2.85,2.62,3.23,2.79,2,2,
Eibar,Mallorca,1,0,1,13,10,2,4,16,8,4,3,5,3,0,0,1.74,3.75,5.25,1.72,3.68,5.12,1,1,
Ath Madrid,Sevilla,2,2,2,21,12,3,4,14,16,8,4,2,4,0,0,2,3.4,4.61,1.93,3.27,4.45,2,2,
Barcelona,Sociedad,2,0,0,13,9,6,1,12,10,4,4,4,3,0,0,1.38,5.5,8.5,1.36,5.37,7.91,0,0,
Getafe,Celta,2,0,0,19,3,6,2,18,14,9,1,6,5,1,0,1.85,3.31,5.23,1.84,3.27,5,2,2,
Osasuna,Espanol,2,0,0,17,8,6,2,17,12,6,2,3,3,0,1,2.47,3.27,3.2,2.41,3.22,3.07,0,0,
Valladolid,Ath Bilbao,1,0,2,19,10,2,5,9,13,8,1,1,2,0,0,3.06,2.88,2.85,2.99,2.84,2.77,1,1,
Levante,Granada,0,1,0,11,10,3,7,21,13,6,4,3,3,0,0,2.08,3.5,3.81,2.06,3.46,3.65,2,2,
Villarreal,Leganes,0,1,0,15,12,5,7,10,11,2,5,4,3,0,0,1.75,3.82,5.25,1.72,3.72,5.04,1,1,
Betis,Real Madrid,2,1,1,14,13,3,4,8,11,6,2,1,1,0,0,4.5,4.14,1.82,4.26,4.06,1.76,0,0,
Eibar,Sociedad,1,0,1,13,6,4,2,12,10,3,1,3,2,0,0,3.4,3.39,2.25,3.37,3.32,2.23,1,1,
Sevilla,Betis,2,0,0,13,12,5,1,13,16,11,2,0,2,0,0,1.9,3.76,4.5,1.84,3.69,4.3,0,0,
Granada,Getafe,1,0,1,10,6,4,2,17,16,2,3,6,4,0,0,3.43,3,2.52,3.31,2.96,2.45,0,0,
Valencia,Levante,2,0,0,12,14,3,4,11,13,0,6,1,4,0,1,1.75,4.2,4.75,1.72,4.07,4.49,2,2,
Espanol,Alaves,0,1,0,19,1,9,0,16,19,2,1,4,3,0,1,2.1,3.3,3.93,2.09,3.2,3.81,0,0,
Celta,Villarreal,2,0,0,4,15,0,4,5,20,2,8,1,1,0,0,2.64,3.4,2.8,2.57,3.37,2.75,1,1,
Leganes,Valladolid,1,0,1,11,6,2,2,21,20,2,1,2,4,0,0,2.35,3.08,3.63,2.3,3.01,3.5,1,1,
Mallorca,Barcelona,1,0,2,13,12,3,7,16,5,9,3,1,2,0,0,10.5,6.21,1.29,9.98,5.99,1.28,1,1,
Ath Bilbao,Ath Madrid,2,1,1,10,9,3,2,10,9,5,7,3,0,0,0,3.81,3,2.31,3.71,2.96,2.25,2,2,
